#OFs,Macro F,Accuracy
2,0.0,0.0
3,0.9258710574113962,0.9784946236559083
4,0.9838404269684099,1.0
5,0.3775641077346153,0.41935483870969303
6,0.7937946182567698,0.7849462365591569
7,1.0,0.9946236559139718
8,0.7845857839232284,0.7634408602150335
