#OFs,Macro F,Accuracy
2,0.0,0.0
3,0.16458341763084047,0.24999999999996553
4,1.0,1.0
5,0.507029867482065,0.5000000000000077
6,0.6940085020105629,0.7499999999999732
7,0.030615915451495446,0.0
8,0.5697101577976147,0.5625000000000182
