#OFs,Macro F,Accuracy
2,0.09159860689612856,0.0
3,0.5275835450769202,0.4074074074074495
4,0.0,0.018518518518575083
5,0.3148432781869975,0.18518518518523092
6,1.0,1.0
7,0.4428784720759033,0.5000000000000325
8,0.2547776097235344,0.2962962962962915
